nodes	type
KEGG_OXIDATIVE_PHOSPHORYLATION	Pathway
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Pathway
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Pathway
KEGG_ARGININE_AND_PROLINE_METABOLISM	Pathway
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Pathway
KEGG_GLYCEROLIPID_METABOLISM	Pathway
KEGG_SPHINGOLIPID_METABOLISM	Pathway
KEGG_MAPK_SIGNALING_PATHWAY	Pathway
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Pathway
KEGG_WNT_SIGNALING_PATHWAY	Pathway
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Pathway
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Pathway
KEGG_ALZHEIMERS_DISEASE	Pathway
KEGG_PARKINSONS_DISEASE	Pathway
KEGG_HUNTINGTONS_DISEASE	Pathway
KEGG_PANCREATIC_CANCER	Pathway
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Pathway
REACTOME_SIGNALING_BY_RHO_GTPASES	Pathway
REACTOME_SIGNALING_BY_WNT	Pathway
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	Pathway
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Pathway
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Pathway
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	Pathway
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Pathway
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Pathway
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Pathway
REACTOME_COLLAGEN_FORMATION	Pathway
REACTOME_HS_GAG_DEGRADATION	Pathway
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Pathway
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	Pathway
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	Pathway
REACTOME_MRNA_SPLICING	Pathway
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	Pathway
REACTOME_SPHINGOLIPID_METABOLISM	Pathway
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	Pathway
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Pathway
